,nrmse,mape,smape,mae,nmae
0,0.14903708539085286,1.9874520893104528,0.3952821486427869,0.11640207446752737,0.11640207446752737
1,0.17544196717884386,2.3624095301265617,0.45657292624759344,0.13645952997878466,0.13645952997878466
2,0.1706971296503764,1.8858166304186283,0.4496245815647056,0.13186288029951487,0.13234413168746928
3,0.14968397004086167,2.2116323849775616,0.39929041082466277,0.11757831278137129,0.11757831278137129
4,0.14991319654984894,1.2087792157980806,0.3816393236628712,0.11679683974372546,0.11679683974372546
5,0.156857180874735,2.6759430005554727,0.45900887285434155,0.12244478055166966,0.12257407810241058
6,0.15893520265775363,2.398108281262135,0.4603199495054004,0.12307497514875916,0.12307497514875916
7,0.14428365423093506,1.1350162081555857,0.38805912394713354,0.11293838356149226,0.11293838356149226
8,0.1652043078316322,1.6876842864625723,0.4596773706125129,0.12806432715403887,0.12806432715403887
9,0.14197499432632604,1.2871810133731922,0.3980187590480721,0.11193927772918352,0.11193927772918352
